ID,time,A_m,P_m,R_s,AR_s,AR_e,A_e,R_e,AR_l,A_l,R_l,P_c,A_cat,Nc_1,Nc_2,Nc_3,Nc_4,hours
5,7200,829614945557.7511,1436647228336.3752,857.4868249133452,2734.1357140621426,332.9753030354956,77.49203669924674,72.31331844332935,602.7277940245668,91.30146505935917,110.82959317699363,6867.415295576423,23729549.280565817,64315.575332430286,3.3622318403998235,2.8434430007876776,2.8022154066245544,2
5,10800,20814154647.992107,2718541414950.486,10168.410647092225,1428.9657751672444,266.68695110207057,27.115002267650205,295.5088612468112,314.51771971922653,38.54151668186319,326.01100081821113,7463.791320926474,30758735.018971372,62808.04667023083,2.935899915260694,2.2857752969217917,2.3205158180499,3
5,14400,0.14608099346901487,1874788724644.528,21105.794814659548,1.3579528729238699e-8,3.094362795922111e-9,2.9490605519179e-10,723.8268539620194,3.249390449428263e-9,5.013035878699073e-10,770.6482319657405,11029.060631437349,35832156.79792447,54257.899620517695,1.971512814528775,2.0234655330666707,1.7881954476947455,4
5,18000,2.3119702819814578e-11,2064736797932.4866,29150.137867698555,1.760242659652438e-18,3.1182798173589506e-19,4.4018404442582026e-20,533.5549078599437,4.46231550253377e-19,5.717520402180376e-20,892.2663739586914,8311.64580537016,37602812.32707019,65889.54488576304,2.5667063141721425,1.5414354135993076,2.6100349986965057,5
5,21600,4.304484959962223e-14,3008318212016.7305,33206.90030738461,3.2546773565969167e-21,7.50228502738878e-22,1.0738891674528733e-22,708.4547381468374,6.518033564436954e-22,1.19664798382748e-22,674.0631854563104,10289.414229334847,42848596.88107368,40379.863817090816,2.1515883908800473,2.0690425211772903,1.6479738311360574,6
5,25200,-7.239894852376119e-14,3078945427482.922,26785.96203046848,-5.12350716395552e-21,-2.0085274548609973e-21,-1.5917869173443411e-22,737.1151148535165,-1.6844413615311002e-21,-2.855241412161047e-22,808.4929079913983,8966.381200173932,37516173.2031087,54906.513787830925,1.699413548288493,1.4392204708403722,1.3946423369677807,7
5,28800,2.0979466374095165e-14,3697721260578.0405,20606.99863406048,8.96324728045726e-22,3.065580928593294e-22,4.0390716446070184e-23,704.5740251175367,4.0369122903902217e-22,4.2315009965795606e-23,754.1381342508632,10308.043479142705,47742478.431475125,31951.887974916717,1.7608255873812615,1.7342119583305986,1.3401138859491246,8
6,3600,1670643993366.4268,888206214047.932,317.18072575463793,2740.9413816299957,463.7837728459803,39.17294164815597,57.256924541319414,470.2816645526574,55.3163151294366,45.53838883387629,2452.2692018690195,8352538.048839752,86878.16942220178,2.7499983106191084,3.0970922185937,3.0849218044488875,1
6,7200,1247115794074.9207,1380679997717.7432,489.4804861819635,2044.9721840601242,406.83404396560917,47.11065060476894,60.45560014797229,580.7056662799229,67.7564568710576,70.05308720111492,5373.985927353739,29557121.263941288,88310.86360119995,2.3511899296297747,3.2474873051714357,2.422191993581965,2
6,10800,511042262498.3194,1487526118788.115,1165.0188416141625,1891.5271774296916,382.6112916969986,45.33260215562531,103.03824209814212,503.3848896667953,69.29444607856675,97.72598164470877,7358.6413407887685,25177507.679949936,73564.16192840182,2.259273447064644,2.245603397346173,2.236351031867184,3
6,14400,465946257.81251585,2170782102753.901,20793.451392828298,41.948085729540054,6.107455735013851,0.9392059174118239,513.4333173080711,9.962988220518287,0.88417036893571,439.33372627573374,7175.31953539111,41452556.02245706,53439.067965799906,1.6857315628612486,2.2237003179412063,2.06134773479919,4
6,18000,1.270947807033798,2677429535654.526,18451.761510394113,1.2491442675085337e-7,1.652823360918257e-8,2.4981173371956602e-9,573.8832045835869,2.2949372359664525e-8,2.571234999537063e-9,619.2582430127445,7606.776292048118,39203318.08893904,58038.35680360244,1.8446095766870425,1.9476879740095074,1.8498907840033751,5
6,21600,2.331439121994457e-8,3055393612064.7124,17839.755859446002,2.928437618123838e-15,4.1692454978197876e-16,3.9976200085699955e-17,395.04682394222846,4.743553159043553e-16,5.854712554887403e-17,490.426079388443,8068.019762225857,36279797.15968463,60452.7919234291,1.6642241374666404,1.4384771543500463,1.213800475343528,6
6,25200,3.183757926865362e-11,2783053257401.0757,19786.618377137096,1.6169364340278561e-18,4.0686772891173933e-19,6.488843910259658e-20,451.9672344648195,3.955481908012159e-19,5.947511265634798e-20,563.901262785734,9300.434835755987,34417126.6834591,46484.79283362972,1.8028373641387678,1.2637738265343497,1.747382024180037,7
6,28800,-1.5425536054030123e-11,2162945606204.9001,32234.348226568312,-1.1158210016696145e-18,-1.5719553056537347e-19,-1.8185614315564528e-20,458.9013594096555,-1.6605322909458086e-19,-2.5086456966942218e-20,406.8081522169713,8857.87617158688,42050234.813179106,44405.4919799179,1.148724375160428,1.585904125615155,1.482605915314503,8
